company_name,company_name_normalized,dba_name,filer_name,filer_type,first_filing_date,latest_filing_date,total_filing_count,application_count,docket_numbers,is_active,activity_signal,industry_segment,product_summary,market_position,market_position_source,market_position_reason,enrichment_confidence,parsed_address,parsed_city,parsed_state,parsed_phone,parsed_email,parsed_founding_date,key_personnel_count
Computer Telephony Innovations Inc dba Voxtelesys.com,computer telephony innovations inc dba voxtelesys.com,Voxtelesys.com,,,2020-04-24,2020-04-24,2,2,20-131,False,"No recent activity evidence found. FCC filing from 2020-04-24 with no recent filings (recent_activity: false). Web search results show generic VoIP providers (voip.ms, SpectrumVoIP, Cytracom, Clarity Voice) but no specific results for Voxtelesys.com or Computer Telephony Innovations Inc, suggesting no current web presence.",UCaaS,"VoIP telecommunications service provider based on company name ""Voxtelesys.com"" and FCC filing for Interconnected VoIP Numbering Authorization, though specific service details are unknown.",SMB,rules,industry_segment=UCaaS,Low,,,,,,,0
"ConnectMe, LLC.",connectme llc,,,,2021-02-26,2021-02-26,3,1,21-74,True,"Multiple web search results from 2025 show active business profiles on BBB, Salary.com, and Bizapedia. LinkedIn company page exists for ConnectMeVoice. However, FCC filing activity was limited to 2021 with no recent regulatory filings.",UCaaS,"ConnectMeVoice provides channel-centric hosted VoIP and unified communications solutions, supporting managed services firms, telecommunications providers, and small businesses with flexible hosted VoIP plans.",SMB,llm,,Medium,,JOHANNESBURG,GAUTENG,,,,0
"Consolidated Communications Enterprise Services, Inc.",consolidated communications enterprise services inc,,,,2022-12-19,2022-12-19,3,1,23-6,True,"Multiple activity signals indicate the company is active: 1) Active company website (consolidated.com) showing current services and monitoring winter storm impacts, 2) Recent regulatory filings including California CPUC registration as recently as September 2024, 3) Company operates as subsidiary of Consolidated Communications Holdings Inc. with ongoing federal contracts per GovTribe, 4) DNB business directory listing shows current business profile",Carrier,"Consolidated Communications Enterprise Services is a telecommunications carrier subsidiary that provides voice, data, and VoIP services to business and residential customers, operating as both an incumbent local exchange carrier (ILEC) and non-dominant interexchange carrier with wholesale services.",Enterprise,llm,,High,"Consolidated Communications Enterprise Services, Inc.",Gibsonia,PA,,,2015,0
"Convoso, Inc.",convoso inc,,,,2020-11-09,2020-11-09,2,1,20-400,True,"Active web presence with recent user reviews on Capterra (2025) across multiple international markets (Ireland, Canada, New Zealand, India) indicating ongoing operations. Multiple recent user testimonials mentioning current usage of the platform, including one user with ""12 years experience"" describing it as ""one of the best softwares I ever used.""",CCaaS,"Convoso provides AI-powered predictive dialing software and cloud contact center solutions, offering automated workflows that increase contact rates by 300-400% for teams with 20+ seats.",Mid-Market,llm,,Medium,,Woodland Hills,CA,8667870157,carriers@convoso.com,,0
CORNFIELD VOICE LLC,cornfield voice llc,,,,2025-04-01,2025-04-01,2,1,25-155,True,"Recent FCC filing (2025-04-01) for Interconnected VoIP Numbering Authorization with supplements filed, indicating current regulatory activity. However, web search results show no specific company information - only generic VoIP-related patents and unrelated content.",UCaaS,VoIP telecommunications provider seeking numbering authorization from the FCC to provide interconnected voice services.,SMB,rules,industry_segment=UCaaS,Low,"4422 N Ravenswood Ave., #55",Chicago,IL,3122654123,,,0
"CSC Voice, LLC",csc voice llc,,Cristina Chou,,2022-06-09,2022-06-09,1,1,22-330,True,"Cristina Chou is confirmed as Vice President, Federal Affairs for Altice USA via LinkedIn and professional profiles found in web search. She filed the VoIP numbering authorization on behalf of CSC Voice, LLC in 2022. Her active role at Altice USA (a major broadband provider) and professional web presence indicate ongoing activity.",Carrier,"CSC Voice, LLC provides interconnected VoIP services and filed for numbering authorization to acquire telephone numbers directly from numbering administrators, operating under the umbrella of Altice USA, a major broadband communications provider.",Enterprise,llm,,Medium,"c/o Altice USA, Inc.",,,,Cristina.Chou@AlticeUSA.com,,0
"CallShaper, LLC",callshaper llc,,David M. Krueger,,2021-03-10,2021-03-10,1,1,21-86,False,No recent activity signals found. Single FCC filing from 2021-03-10 with no supplements or recent activity. Web search results contain no relevant information about David M. Krueger or CallShaper LLC - only unrelated content about music streaming and general telecom services. Email domain (beneschlaw.com) suggests legal representation rather than operational company contact.,UCaaS,"CallShaper LLC planned to provide interconnected VoIP services initially in Maryland with plans to expand nationwide, as described in their 2021 FCC numbering authorization application.",SMB,rules,industry_segment=UCaaS,Low,,Perry Hall,MD,2163634500,dkrueger@beneschlaw.com,2014,0
"DayStarr, LLC DBA DayStarr Communications","daystarr, llc dba daystarr communications",DayStarr Communications,,,2025-02-28,2025-02-28,3,1,25-118,True,Recent FCC filing (2025-02-28) for VoIP numbering authorization; Active company website (daystarr.net) found in search results; LinkedIn company profile exists; Recent web mentions from 2025-2026 including business directory listings and service availability maps,Carrier,"DayStarr Communications is a full-service telecommunications and Internet service provider operating in Michigan, specializing in fiber optic network solutions for residential and commercial customers.",SMB,llm,,High,307 North Ball St PO Box 698,Owosso,MI,9897206000,,2001,1
"Dialwave, Inc.",dialwave inc,,,,2025-06-24,2025-06-24,2,1,25-204,True,"Recent FCC filing (June 24, 2025) for interconnected VoIP numbering authorization with supplements and recent activity noted. Active company website found via web search (dialwave.com) describing cloud-based voice and wireless communication products. Recent Tracxn profile from September 10, 2025, and trademark registration with 31 West 34th Street address matching FCC filing documentation.",UCaaS,"Dialwave provides cloud-based voice and wireless communication products for businesses worldwide, leveraging AI to revolutionize telephony and offering infrastructure for clients to deploy voice, data, and mobile services.",SMB,rules,industry_segment=UCaaS,High,31 West 34th Street,,,,robert.nichols@dialwave.com,,0
"Digital Network Access Communications, Inc.",digital network access communications inc,,,,2021-07-30,2021-07-30,1,1,21-317,False,"Single FCC filing from 2021-07-30 with no subsequent activity or supplements. Web searches return only generic VoIP patent and industry articles with no specific results for Digital Network Access Communications. No company website, social media presence, or recent business activity found despite having a founding date of 2015.",Carrier,Digital Network Access Communications was a competitive local exchange carrier from northern Illinois that sought to expand interconnected VoIP services to neighboring states outside their existing geographic area.,Unknown,undetermined,,Low,601 1st Avenue,Rochelle,IL,8155624290,amkamel@dna-communications.com,2015,0
"DOCOMO Pacific (Saipan), Inc.",docomo pacific (saipan) inc,,,,2017-03-07,2017-03-07,1,1,17-70,True,"Company website found via search (docomopacific.com) actively promoting services, Wikipedia entry confirms current operations, and recent news article from September 6, 2024 about new Saipan call center expansion shows ongoing business activity. Parent company NTT Docomo is a major Japanese telecom operator.",Carrier,"DOCOMO Pacific is a full-service telecommunications carrier providing mobile, internet, television, and telephone services to Guam and the Northern Mariana Islands as a subsidiary of Japan's NTT Docomo.",Enterprise,llm,,High,"219 S. Marine Corps Drive, Ste. 206, Tamuning, Guam 96913",,,6716882355,,,1
"E. Ritter Communications, LLC DBA Ritter Communications and DBA RightFiber","e. ritter communications, llc dba ritter communications and dba rightfiber",Ritter Communications and DBA RightFiber,,,2025-03-21,2025-03-21,4,1,25-154,True,"Recent FCC filing (2025-03-21) for VoIP numbering authorization with 4 total filings and supplements, active company website found via search (rittercommunications.com), established business operations since 1906 per web search results, current executive team identified including CEO Kyle Keith",Carrier,"Ritter Communications is a telecommunications carrier founded in 1906, providing interconnected VoIP services, fiber networks, and comprehensive telecommunications solutions across multiple states.",Enterprise,llm,,High,2400 Ritter Drive,Jonesboro,AR,8883364466,,1982,0
ECG Inc,ecg inc,,,,2021-06-01,2021-06-01,1,1,21-198,True,"Company website found via search (ecg.co) shows active business operations, LinkedIn profile indicates ongoing operations, and multiple business directory listings found. However, FCC filing is from 2021 with no recent activity.",Enterprise IT,"ECG provides technical consulting services, staff augmentation, and network operations support for carriers, VoIP service providers, and enterprises managing voice and data networks.",Enterprise,llm,,Medium,,Saddle Brook,New,,,,0
"ECG, Inc. a Division of NG Telecom, Inc.","ecg, inc. a division of ng telecom inc",,,,2021-03-29,2021-03-29,1,1,21-198,False,"Single FCC filing from March 29, 2021 with no recent activity. Web search results returned only generic Wikipedia and patent pages unrelated to the company, with no company website or business presence found. No evidence of current operations or recent business activity.",Carrier,"Applied for interconnected VoIP numbering authorization as a division of NG Telecom, suggesting telecommunications carrier services, though specific service details are unknown.",Unknown,undetermined,,Low,,,,,,,0
"Edge Communications Solutions, LLC",edge communications solutions llc,,,,2016-07-01,2016-07-01,2,1,16-220,True,"Company website found via search (edgecommunications.com), active LinkedIn company profile, and current business listings on RocketReach and Buzzfile showing operational status with 179 employees and $73M revenue",Enterprise IT,"Edge Communications provides managed IT services including cybersecurity, IT support, network management, PBX systems, and telecommunications solutions for medium businesses.",Mid-Market,llm,,Medium,,Plano,TX,,,,0
"EdgeTel, LLC",edgetel llc,,,,2018-03-29,2018-03-29,1,1,18-138,False,"No evidence of current activity. Only FCC filing from 2018-03-29 with no recent activity. FCC Form 499 registration last current as of April 1, 2020. Web searches show corporate registrations but no active business website or recent business activity. The edgetel.com.au website appears to be a different Australian company offering hosted PBX services, not the same entity.",Carrier,"EdgeTel provides VoIP services in multiple states (DC, MD, MA, NJ, NY, PA, RI, VA) through its own facilities and CLEC partner arrangements for routing traffic to the PSTN.",Unknown,undetermined,,Medium,1501 35th Avenue West,Miami,FL,8556172530,kellie@edgetelecom.com,,2
"Electric Lightwave, LLC",electric lightwave llc,,,,2018-05-29,2018-05-29,2,1,18-206,False,"FCC filing from 2018 only with no recent activity. Web search shows company was acquired by Zayo Group LLC on March 1, 2017 according to Clark County NV franchise agreement extension (2020). BBB profile indicates company was ""formerly known as Integra Telecom"" suggesting brand consolidation or discontinuation. No evidence of current independent operations.",Carrier,Electric Lightwave was a telecommunications carrier that provided VoIP services and operated telecommunications infrastructure before being acquired by Zayo Group in 2017.,Enterprise,llm,,Medium,"18110 SE 34th St., Building One, Suite 100, Vancouver, WA 98683",Raleigh,North,1866468347,,,1
"ENA Services, LLC",ena services llc,,,,2020-12-17,2020-12-17,2,1,21-1,True,"Multiple active signals found: 1) Company profile on Cortera business directory showing current operations in Nashville, TN specializing in ""Telephone Communications, Except Radiotelephone"" 2) Recent contract awards including Prince George's County Public Schools E-Rate hosted VoIP contract (exp. 6-30-16 but shows recent vendor selection) 3) Active marketing materials showing ""ENA SmartVoice"" cloud-based VoIP solution from Alabama Community College System documentation 4) Listed as active provider offering ""Network monitoring"", ""SIP trunking"", and ""Managed IT services"" in State of Utah telecommunications services documentation",UCaaS,"ENA Services provides cloud-based VoIP and unified communications solutions including their ""ENA SmartVoice"" platform, SIP trunking services, and managed IT services primarily targeting educational institutions and government entities.",Enterprise,llm,,High,http://www.interconnection.bellsouth.com/guides/html/unes.html,Sugar Land,TX,,,,0
"Enhanced Communications of Northern New England, Inc. d/b/a Consolidated Long Distance","enhanced communications of northern new england, inc. d/b/a consolidated long distance",Consolidated Long Distance,,,2018-04-24,2018-04-24,2,2,18-204,False,No recent activity indicators found. FCC filing is from 2018 (over 6 years old) with no subsequent filings or supplements. Web searches return only generic telecom industry results with no specific mention of the company. Email contact uses @comcast.com domain suggesting possible acquisition or integration. No company website or recent business presence found.,Carrier,"Provider of interconnected VoIP services seeking direct access to telephone numbering resources, operating as a telecommunications carrier offering long distance services.",Unknown,undetermined,,Low,"Enhanced Communications of Northern New England, Inc.",,,,BrianRankin@comcast.com,,0
"EON Telecom, Inc.",eon telecom inc,,,,2021-04-13,2021-04-13,1,1,21-199,True,"Strong evidence of current activity: Active company website (eontelecom.us) describes current operations as ""National IPES provider in USA"" with facilities in 30+ states; FCC Form 499 database shows 2024 filing with current business description; Second website (eontelecom.com) promotes fiber internet and streaming services; Multiple web search results show active online presence",Carrier,"EON Telecom is a national IPES provider offering wholesale, enterprise, and retail telecommunications services including VoIP, fiber internet, streaming services, and toll-free number management with real-time provisioning capabilities.",Enterprise,llm,,High,"1329 North State Street, Suite 308",Bellingham,WA,4045194096,,,3
"Ewart Technologies, Inc",ewart technologies inc,,,,2020-09-17,2020-09-17,3,1,20-314,True,"Company website found via search (https://www.ewarttechnologies.com/) shows active web presence. PeeringDB entry shows active AS20388 network operations. Multiple IP tracking services confirm active autonomous system registration. However, FCC filing is from 2020 with no recent activity.",Carrier,"Ewart Technologies is a cloud services provider and ISP offering web hosting, hosted email, virtual servers, data backup, and security services, operating their own autonomous system network (AS20388).",SMB,llm,,Medium,15751 Sheridan St PMB-160,Pembroke Pines,FL,,,1997,1
Exiant Communications LLC,exiant communications llc,,,,2017-07-18,2017-07-18,1,1,17-202,True,"Company website found via search (exiantcommunications.com) with multiple active pages including LNP operations and legal pages. Website describes ""seamless phone numbers and calling solutions"" and shows operational telecommunications services.",Carrier,"Exiant provides telecommunications solutions including phone numbers, calling services, and VoIP operations with LNP (Local Number Portability) capabilities for business customers.",Unknown,undetermined,,Medium,"1213-J Liberty Rd, #216",Eldersburg,MD,2022043005,,,1
"First Communications, LLC",first communications llc,,,,2022-12-12,2022-12-12,1,1,22-445,True,"FCC filing from December 2022 for VoIP numbering authorization, active company website (firstcomm.com) found via web search showing current services, BBB business profile, and multiple business directories listing current operations",UCaaS,"First Communications provides unified communications services including VoIP telephony, hosted PBX, SIP trunking, data connectivity, and managed IT services primarily serving Midwest businesses.",SMB,llm,,Medium,3340 West Market Street,Akron,OH,8008601261,,,1
"Five9, Inc.",five9 inc,,,,2020-09-16,2020-09-16,3,1,20-309,True,"Multiple recent web search results from 2025-2026 showing active company operations (Tracxn profile from Jan 2026, PitchBook 2026 profile, GlobalData profile), LinkedIn company page active, and FCC Form 499 database listing showing current VoIP provider status. Company described as providing cloud contact center software with AI-powered solutions.",CCaaS,"Five9 provides cloud-native contact center software and AI-powered customer experience solutions, including IVR, analytics, workforce optimization, and omnichannel engagement capabilities delivered as a CCaaS platform.",Enterprise,llm,,High,4000 Executive Parkway,San Ramon,CA,,Melinda.Bas@five9.com,,0
Flowroute Inc.,flowroute inc,,,,2016-08-15,2016-08-15,5,1,16-265,True,"Active company website found via web search (flowroute.com/contact-us showing operational status page and active services), login portal accessible (manage.flowroute.com), Bloomberg company profile page exists, Indeed careers page shows current employment opportunities, and ITQlick rating from 2024 indicating ongoing business operations",CPaaS,"Flowroute provides cloud-based VoIP services including SIP trunking, voice calling, and messaging services through APIs and communication platforms.",SMB,llm,,High,,Santa Rosa,CA,,,,0
"FracTel, Inc.",fractel inc,,,,2016-08-22,2016-08-22,1,1,16-282,True,"Active company website found at fractel.com and ww2.fractel.net showing current UCaaS/VoIP services, active LinkedIn company profile, and multiple business directory listings (Craft.co, Datanyze) indicating ongoing operations. Website claims ""For over a decade, FracTEL has delivered a full-stack of communication solutions.""",UCaaS,"FracTEL provides cloud-based business communications solutions including UCaaS, VoIP services, SMS/MMS, Cloud Voice, No-Code Automation, and Cloud API services for carriers, service providers, and enterprises in USA and Canada.",SMB,llm,,Medium,,Indialantic,FL,,,,0
"FracTel, LLC",fractel llc,,,,2016-08-22,2016-08-22,2,2,16-282,True,"Company website found via search (fractel.com with privacy policy), 2020 FCC filing in South Dakota (03/12/20 - 30-day State Notification for Interconnected VoIP Providers), and patent assignment in 2015 (US9191503B1 for business PBX system)",UCaaS,"FracTel provides telecommunications and interconnected VoIP services, with evidence of business PBX solutions based on their patent for feature-based software systems.",SMB,rules,industry_segment=UCaaS,Medium,,Indialantic,FL,,,,0
Fullduplex LLC,fullduplex llc,,,,2023-09-18,2023-09-18,1,1,,True,"Recent FCC filing for VoIP Numbering Authorization (September 18, 2023) and presence listed in IX-Denver portal as ""FULLDUPLEX"" indicating active network infrastructure participation",Carrier,"Telecommunications infrastructure provider with network interconnection services, likely providing VoIP and data connectivity through internet exchange participation.",Unknown,undetermined,,Low,,Sun Prairie,WI,,,,0
"Fullduplex LLC, Arif Gul","fullduplex llc, arif gul",,,,2023-11-15,2023-11-15,1,1,,True,"Recent FCC filing (November 15, 2023) for VoIP Numbering Authorization Application. Web search results show Fullduplex Limited incorporated in 2006 and classified as ""other telecommunications activities"" with Arif Gul as primary contact and IT Manager with over a decade of experience in Full Stack development and systems integration.",Other,"Fullduplex Limited provides managed IT and cloud application services, with telecommunications activities and systems integration capabilities, led by an experienced IT professional.",Unknown,undetermined,,Medium,,Sun Prairie,WI,,,,0
GetGo Communications LLC,getgo communications llc,,,,2017-10-20,2017-10-20,2,1,17-291,False,No recent activity signals found. FCC filing only from 2017-10-20 with no recent filings (recent_activity: false). Email domain @logmein.com suggests potential acquisition or integration. Web search results show only generic VoIP patents and area code information with no specific company presence.,UCaaS,"VoIP service provider that filed for interconnected VoIP numbering authorization, likely providing voice communication services over internet protocol.",SMB,rules,industry_segment=UCaaS,Low,"10 Exchange Place, Suite 1710",,,8556732532,kari.zeni@logmein.com,,0
"Global Net Communications, Inc.",global net communications inc,,,,2021-10-07,2021-10-07,1,1,21-409,True,"Company website found via search (globalnetcommunications.com) with current service descriptions, FCC filing granted in 2022 (DA-22-200A1.pdf shows application was granted), and active trademark registration from 1996 indicating ongoing business operations",UCaaS,"Global Net Communications provides VoIP voice solutions for business users with connectivity to the Public Switched Telephone Network (PSTN), supported by a dedicated real-time data communication network for secure carrier database interactions.",SMB,llm,,Medium,2040 S. Alma School Road,Chandler,AZ,4805039298,christian@globalnetcommunications.com,1995,1
Google LLC,google llc,,,,2020-03-07,2020-03-07,1,1,20-72,True,"Google LLC is a well-known active technology company. Web search results show recent VoIP-related patents and services including Google Duo (launched 2016, merged into Google Meet). The company maintains its headquarters address at 1600 Amphitheatre Parkway, Mountain View, CA 94043 with active phone number 6502530000.",UCaaS,"Google provides unified communications services including VoIP calling through Google Voice, video conferencing through Google Meet (formerly Google Duo), and various telecommunications patents and technologies.",Enterprise,llm,,High,"1600 Amphitheatre Parkway, Mountain View, CA 94043",Mountain View,CA,6502530000,devinmorris@google.com,,0
"BARR TELL USA, INC.",barr tell usa inc,,HAROLD BARR,,2016-06-03,2016-06-03,6,3,16-252; 20-175; 22-444,False,"No recent activity signals. FCC filings only from 2016 (first_filing_date: 2016-06-03, latest_filing_date: 2016-06-03, recent_activity: false). Web search results only show patent filings related to VoIP/telecommunications technology attributed to Harold Barr, but no active company website or recent business activity. Email address shows @telebroad.com domain, and FCC proceeding types mention ""Barr Tell USA, Inc."" and later ""Telebroad, LLC"", suggesting possible company transitions or acquisitions.",Carrier,"Based on FCC filings for ""Interconnected VoIP Numbering Authorization"" and patent references to VoIP routing and telecommunications systems, appears to have been involved in VoIP carrier services and telecommunications infrastructure.",Unknown,undetermined,,Low,"218 East Park Ave, Suite 522",Long Beach,NY,,yspitz@telebroad.com,,4
"Harold Barr, VP 3 Billionaires Corp.","harold barr, vp 3 billionaires corp",,,,2020-04-13,2020-04-13,1,1,20-129,False,"Single FCC filing from 2020-04-13 with no subsequent activity. Web search results show only generic VoIP industry information with no specific mentions of ""3 Billionaires Corp"" or ""Harold Barr"". No company website, social media presence, or recent business activity found in search results. Four-year gap since filing with no evidence of ongoing operations.",Carrier,"Filed to provide interconnected VoIP services initially in New York state, indicating intent to operate as a telecommunications carrier offering voice services over internet protocol.",Unknown,undetermined,,Low,"4140 Union St., Suite 14D",Flushing,NY,5167080111,,,0
"HD Carrier, LLC",hd carrier llc,,,,2017-06-23,2017-06-23,2,1,17-241,True,"Nevada business registry shows company status as ""Active"" (nevada-register.com search result), and legal activity evident through 2020 lawsuit against AT&T in California Central District Court (Justia docket filing). Company is also registered as VoIP provider with Connecticut PURA regulatory body.",Carrier,"HD Carrier is a VoIP carrier providing interconnected Voice over Internet Protocol services, initially serving California and New York markets.",Unknown,undetermined,,Medium,170 S. Green ValleyParkway,Henderson,NE,4077408575,,,0
"HDC Alpha, LLC",hdc alpha llc,,,,2019-10-08,2019-10-08,1,1,19-313,False,"No recent activity signals found. FCC filing was only in 2019 with no recent activity noted. Web search results show FCC Form 499 database entries and regulatory notices from 2020-2021, but no active company website, current business operations, or recent filings. The most recent meaningful activity appears to be from 2021 FCC public notices (DA-21-15, DA-21-100).",UCaaS,"HDC Alpha, LLC was an interconnected VoIP provider that intended to provide VoIP services initially in Colorado, as evidenced by their FCC numbering authorization application.",SMB,rules,industry_segment=UCaaS,Medium,170 S. Green ValleyPkwy.,Henderson,NE,8448524444,,,0
"HDC Beta, LLC",hdc beta llc,,,,2019-10-08,2019-10-08,1,1,19-314,True,"FCC Form 499 database shows registration current as of 4/1/2024, indicating recent regulatory compliance. Multiple business directory listings found via web search (corporationwiki.com, bizapedia.com, city-data.com) suggest continued business presence, though original FCC filing dates to 2019-10-08 with no recent filings.",UCaaS,"HDC Beta, LLC provides interconnected VoIP services, initially targeting Washington state market according to their FCC filing service description.",SMB,rules,industry_segment=UCaaS,Medium,170 S. Green ValleyPkwy.,Henderson,NE,8448525555,intagree@centurylink.com,,0
"HDC Delta, LLC",hdc delta llc,,,,2019-10-08,2019-10-08,1,1,19-315,False,"No recent activity signals found. FCC filing from 2019-10-08 only, with no supplements or recent activity. Web search results show only basic corporate registry entries with no evidence of active business operations, website, or recent updates.",UCaaS,"Filed to provide interconnected VoIP services initially in Massachusetts, as stated in FCC documentation.",SMB,rules,industry_segment=UCaaS,Low,170 S. Green ValleyPkwy.,Henderson,NE,8448534444,,,0
"HDC Epsilon, LLC",hdc epsilon llc,,,,2019-10-08,2019-10-08,1,1,19-316,False,"No recent activity signals found. FCC filing was single occurrence in 2019 with no supplements or recent activity. Web search results show only historical references to FCC filings from 2019-2021 and basic corporate registration data. No active website, current business operations, or recent regulatory activity identified.",UCaaS,"HDC Epsilon, LLC was intended to provide interconnected VoIP services initially in California, seeking numbering authorization from the FCC to obtain telephone numbers directly from Numbering Administrators.",SMB,rules,industry_segment=UCaaS,Medium,170 S. Green ValleyPkwy.,Henderson,NE,8448535555,krjs@lokl.net,,0
"HDC Gamma, LLC",hdc gamma llc,,,,2019-10-08,2019-10-08,1,1,19-317,False,No recent activity signals found. FCC filing was single occurrence in 2019 with no supplements or recent activity. Web search results show only historical/directory entries with no active business presence or recent updates.,Carrier,"Applied to provide interconnected VoIP services initially in NY, suggesting a telecommunications carrier focused on VoIP infrastructure and numbering services.",Unknown,undetermined,,Low,170 S. Green ValleyPkwy.,Henderson,NE,8448532222,,,0
"IDT Domestic Telecom, Inc.",idt domestic telecom inc,,,,2021-12-06,2021-12-06,3,1,21-470,True,"Company appears active based on: 1) Web search results showing IDT Express platform with terms and conditions referencing ""IDT Domestic Telecom, Inc."", 2) Parent company IDT Corporation website (idt.net) describes itself as ""global provider of various telecommunication, payment and other"" services and mentions being ""recognized as a pioneer in VoIP"", 3) Company listed in current telecom provider directories for Guam and American Samoa regions via TeraCodes",Carrier,"IDT Domestic Telecom provides interconnected VoIP services as part of IDT Corporation's telecommunications portfolio, operating as a carrier in the competitive VoIP business sector with presence in US territories.",Unknown,undetermined,,Medium,520 Broad Street,Newark,NE,9734384854,,,1
"IFN.COM, Inc.",ifn.com inc,,,,2021-02-22,2021-02-22,1,1,21-64,True,"Company operates as TollFreeForwarding.com according to D&B listing, with active phone number (8884521505) and email (tm@tollfreeforwarding.com) from FCC filing. Web search results show business directory listings describing it as ""an international telecommunications provider based in Los Angeles, California"" founded in 2002, suggesting ongoing operations despite single FCC filing from 2021.",Carrier,"IFN.COM Inc. operates as TollFreeForwarding.com, providing international telecommunications services including toll-free number forwarding and international phone numbers to help businesses access customers globally.",SMB,llm,,Medium,,Cerritos,CA,8884521505,tm@tollfreeforwarding.com,,0
IntelePeer Networks LLC,intelepeer networks llc,,,,2020-10-30,2020-10-30,2,1,20-356,True,"Company is listed as ""Active status in state records"" per California Secretary of State (web search results). Recent $140 Million strategic growth investment announced July 25, 2024 for AI agent development (web search snippet). Company website found via search results showing current business operations focused on AI-powered omnichannel communications.",CPaaS,"IntelePeer provides enterprise-grade, AI-powered omnichannel communications solutions that help businesses automate customer interactions and implement voice over internet protocol services.",Enterprise,llm,,High,,San Mateo,CA,2027926422,,,1
"Inter Vista Networking, Inc.",inter vista networking inc,,,,2017-02-02,2017-02-02,3,2,17-44,False,Single FCC filing from 2017-02-02 with no recent activity. Web search results show only the original FCC public notice from 2017 and basic corporate profile listings with no recent updates or active web presence. No current company website or recent business activity found.,Carrier,"Applied for interconnected VoIP numbering authorization with the FCC in 2017, indicating plans to provide VoIP telephony services requiring direct numbering resources.",Unknown,undetermined,,Low,"525 Market Street, #1944 GRC-LEC URF-Carrier Other",,,,,,3
"Intrado IP Communications, Inc.",intrado ip communications inc,,,,2021-04-15,2021-04-15,3,1,21-179,False,No recent activity indicators. FCC filing from 2021-04-15 with no recent activity flag set to false. Web search results are all from 2006 showing historical E911/VoIP services but no current company presence or recent activity found.,Carrier,Provides interconnected VoIP services to business customers and specializes in VoIP E911 emergency communications solutions for enterprises.,Enterprise,llm,,Medium,"401 South 4th Street, Suite 200",,,7208645510,sward@intrado.com,,0
Invoxio,invoxio,,,,2017-03-08,2017-03-08,4,4,17-217; 17-44,True,"Active company website found via search (invoxio.com) showing ""The Phone Company for Developers"" with current copyright ""© 2026 Invoxio Inc."" LinkedIn profile with 22 followers indicating ongoing presence. BBB business profile and ZoomInfo listing showing Fort Myers, FL location with ~$4M revenue and 12 employees.",CPaaS,"Invoxio provides carrier-grade voice, messaging, and data APIs for developers, offering turnkey phone systems and enterprise solutions that scale from small teams to large call centers.",Mid-Market,llm,,High,4310 Metro Parkway Ste 110,JOHANNESBURG,GAUTENG,5619900000,,,1
Invoxio Inc,invoxio inc,,,,2017-07-13,2017-07-13,1,1,17-217,True,"Company website found via search (https://invoxio.com/) shows active business operations with tagline ""The Phone Company for Developers"" and mentions ""Join thousands of developers and businesses building with Invoxio"". Website includes active login portal and contact pages, indicating ongoing operations despite single FCC filing from 2017.",CPaaS,"Invoxio provides carrier-grade voice, messaging, and data APIs built in the cloud for developers, positioning itself as ""The Phone Company for Developers"" with services powered by telco.dev, talk.dev, sms.dev platforms.",Startup,llm,,Medium,4310 Metro Parkway Ste 110,Minneapolis,MN,5619900000,,4310,1
"IP Horizon, LLC",ip horizon llc,,,,2018-05-10,2018-05-10,1,1,18-205,True,Company shows active status in Washington (incorporated 8/11/2020) and New York (incorporated 8/21/2020) state records per web search results. BBB business profile found showing VoIP business operations. Recent TikTok content mentioning company calls and business communication solutions (updated 2025-10-13).,UCaaS,"IP Horizon provides interconnected VoIP services and business communication solutions, operating in the competitive VoIP sector with multiple state registrations.",SMB,rules,industry_segment=UCaaS,Medium,1515 Park Center Dr #2F,Orlando,FL,2022043005,,,0
"IP Networked Services, Inc.",ip networked services inc,,,,2020-09-09,2020-09-09,1,1,20-297,True,"Company shows active status in Florida business records (intercreditreport.com), updated ARIN registry entry as recent as 2023-11-30, and maintains BGP network operations (AS18441, AS40227). Multiple business directory listings confirm ongoing presence.",Carrier,"Network infrastructure provider operating BGP networks and IP services, likely providing connectivity and network services to other organizations.",Unknown,undetermined,,Medium,1950 Hassell Road,Hoffman,IL,8474854686,,,0
"IPitomy Communications, LLC",ipitomy communications llc,,,,2021-03-10,2021-03-10,2,1,21-85,True,"Company website found via web search showing current product offerings (IP5000-XL PBX for up to 500 users, IP1200-XL unified communications system). Third-party reviews describe IPitomy as ""a premier VoIP provider"" with ""highly resilient VoIP telecommunications network."" Multiple dealer/reseller sites (srqphones.com, aerocominc.com) actively list IPitomy products, indicating ongoing business operations.",UCaaS,"IPitomy provides IP PBX systems and unified communications solutions, offering business phone systems ranging from small office to enterprise scale (up to 500 users), with VoIP telecommunications network services.",Mid-Market,llm,,Medium,,,,9413062200,nbranica@ipitomy.com,1996,0
"IPtelX, LLC",iptelx llc,,,,2018-02-14,2018-02-14,2,1,18-58,False,"No recent activity found. FCC filing was only from 2018-02-14 with no supplements or recent activity. Web searches returned no specific results for IPtelX, LLC - only generic telecom industry articles. No company website or current web presence discovered.",CPaaS,"VoIP services provider that filed for interconnected VoIP numbering authorization with the FCC, indicating they provide voice communication services over IP networks.",SMB,rules,industry_segment=CPaaS,Low,,Bay City,MI,,jordan.dice@iptelx.net,,0
